,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor
248,49,115,1400,44783000.0,2,1.0,1.0,1.0,1,1
249,49,80,1380,25000000.0,2,0.0,0.0,1.0,4,4
250,49,173,1370,20231000.0,3,0.0,0.0,0.0,1,4
251,49,75,1388,36000000.0,2,1.0,0.0,1.0,1,1
252,49,85,1387,27000000.0,2,0.0,1.0,1.0,4,4
253,49,91,1370,34187000.0,2,0.0,1.0,1.0,2,3
254,49,84,1370,26786000.0,2,0.0,0.0,1.0,2,2
255,49,74,1381,30811000.0,2,1.0,0.0,1.0,4,4
256,49,96,1396,39583000.0,2,1.0,1.0,1.0,1,6
257,49,96,1397,36458000.0,2,1.0,1.0,1.0,1,1
258,49,144,1400,45833000.0,3,1.0,1.0,1.0,2,2
259,49,80,1379,26250000.0,2,0.0,0.0,1.0,4,4
260,49,130,1384,34615000.0,3,1.0,1.0,1.0,3,3
261,49,80,1370,43750000.0,2,0.0,0.0,1.0,1,1
262,83,140,1400,11400000.0,3,1.0,1.0,1.0,11,11
263,83,103,1400,48544000.0,2,1.0,1.0,1.0,11,11
264,83,108,1388,72222000.0,2,1.0,1.0,1.0,4,4
265,83,163,1380,76687000.0,2,1.0,1.0,1.0,4,4
266,83,121,1385,74959000.0,2,1.0,1.0,1.0,4,9
267,83,146,1382,68493000.0,3,1.0,1.0,1.0,4,4
268,83,108,1380,72222000.0,2,1.0,1.0,1.0,2,2
269,83,130,1392,93077000.0,3,1.0,1.0,1.0,4,5
270,83,126,1397,118254000.0,3,1.0,1.0,1.0,1,5
271,83,110,1396,10909000.0,2,0.0,1.0,1.0,3,3
272,83,163,1371,77914000.0,2,1.0,1.0,1.0,4,4
273,83,100,1400,5300000.0,2,1.0,1.0,1.0,9,9
274,4,100,1400,12300000.0,2,1.0,1.0,1.0,3,3
275,83,110,1397,114545000.0,2,1.0,1.0,1.0,5,5
276,83,145,1380,68966000.0,3,1.0,1.0,1.0,1,4
277,83,153,1399,75163000.0,3,1.0,1.0,1.0,4,4
278,83,152,1370,96053000.0,3,1.0,1.0,1.0,4,4
279,83,128,1397,117188000.0,3,1.0,1.0,1.0,1,1
280,83,115,1389,94000000.0,3,1.0,1.0,1.0,2,4
281,83,140,1384,70000000.0,3,1.0,1.0,1.0,2,2
282,83,180,1398,144444000.0,3,1.0,1.0,1.0,4,6
283,26,73,1385,18904000.0,2,0.0,0.0,1.0,4,4
284,26,70,1376,19286000.0,2,0.0,0.0,0.0,2,2
285,26,58,1385,20086000.0,1,0.0,0.0,1.0,3,3
286,26,63,1386,21429000.0,1,0.0,1.0,0.0,3,4
287,26,69,1389,26812000.0,2,0.0,1.0,1.0,0,4
288,26,60,1395,25000000.0,1,1.0,1.0,1.0,2,5
289,26,52,1385,22500000.0,1,0.0,0.0,0.0,2,4
290,26,67,1382,19254000.0,2,0.0,0.0,1.0,3,3
291,26,105,1400,29524000.0,2,1.0,1.0,1.0,5,5
292,26,61,1383,21311000.0,1,0.0,1.0,1.0,1,4
293,26,90,1389,25000000.0,2,0.0,1.0,1.0,3,3
294,44,100,1395,31000000.0,2,1.0,1.0,1.0,4,4
295,26,93,1394,25269000.0,2,1.0,1.0,1.0,2,5
296,26,58,1385,23276000.0,1,0.0,0.0,0.0,3,4
297,26,105,1400,30000000.0,2,1.0,1.0,0.0,5,5
298,26,74,1386,24324000.0,2,0.0,0.0,1.0,1,4
299,26,54,1380,16019000.0,1,0.0,0.0,0.0,3,3
300,26,60,1399,33000000.0,1,1.0,1.0,0.0,1,5
301,26,48,1386,18438000.0,1,1.0,0.0,0.0,3,4
302,26,84,1386,23810000.0,2,0.0,1.0,1.0,1,4
303,26,78,1395,31410000.0,2,1.0,1.0,1.0,4,4
304,26,74,1385,24000000.0,2,0.0,0.0,1.0,1,4
305,26,68,1391,22059000.0,2,1.0,0.0,1.0,5,5
306,26,108,1395,23148000.0,2,1.0,1.0,0.0,5,5
307,26,70,1388,20714000.0,2,0.0,0.0,1.0,1,4
308,26,106,1400,26038000.0,2,1.0,1.0,1.0,1,5
309,26,108,1400,27778000.0,2,1.0,1.0,0.0,5,5
310,26,135,1400,28741000.0,2,1.0,1.0,0.0,4,5
311,59,63,1386,35635000.0,1,0.0,1.0,1.0,1,4
312,59,61,1387,36787000.0,1,0.0,1.0,1.0,1,4
313,59,68,1381,44118000.0,2,1.0,1.0,1.0,3,3
314,59,100,1395,47000000.0,2,1.0,1.0,1.0,3,3
315,59,113,1388,50442000.0,2,1.0,1.0,1.0,2,5
316,59,55,1394,52182000.0,1,1.0,1.0,1.0,4,4
317,59,77,1383,50649000.0,2,1.0,1.0,1.0,5,5
318,59,53,1389,54340000.0,1,1.0,1.0,1.0,2,2
319,59,86,1386,44186000.0,2,1.0,1.0,1.0,5,5
320,59,95,1391,43158000.0,2,1.0,1.0,1.0,1,5
321,59,84,1380,41667000.0,2,0.0,1.0,0.0,2,4
322,59,106,1392,44245000.0,2,1.0,1.0,1.0,1,1
323,59,110,1390,38182000.0,2,1.0,1.0,1.0,1,1
324,59,112,1387,40625000.0,3,1.0,1.0,1.0,3,5
325,59,43,1382,48837000.0,1,1.0,1.0,1.0,4,4
326,59,75,1384,49600000.0,2,0.0,1.0,1.0,2,2
327,59,65,1385,45692000.0,2,1.0,1.0,1.0,5,5
328,59,75,1396,47333000.0,2,1.0,1.0,1.0,4,4
329,59,56,1385,42500000.0,2,1.0,1.0,1.0,2,2
330,59,80,1393,47500000.0,2,1.0,1.0,1.0,2,2
331,59,65,1387,50769000.0,1,1.0,1.0,1.0,3,3
332,59,80,1395,47500000.0,1,1.0,1.0,1.0,2,5
333,59,62,1386,36339000.0,1,0.0,1.0,1.0,1,4
334,59,95,1388,42737000.0,2,1.0,1.0,1.0,5,5
335,59,74,1397,47297000.0,2,1.0,1.0,1.0,4,4
336,59,64,1392,51562000.0,1,1.0,1.0,1.0,5,5
337,59,89,1396,52809000.0,2,1.0,1.0,1.0,4,5
338,59,79,1383,39873000.0,2,1.0,1.0,1.0,5,5
339,59,60,1385,41667000.0,1,1.0,1.0,1.0,2,2
340,59,84,1383,41667000.0,2,1.0,1.0,1.0,5,5
341,59,100,1393,53000000.0,2,1.0,1.0,1.0,1,1
342,59,135,1382,42222000.0,3,0.0,1.0,1.0,2,2
343,59,77,1383,50649000.0,2,1.0,1.0,1.0,5,5
344,59,101,1394,42871000.0,2,1.0,1.0,1.0,4,4
345,59,126,1398,47460000.0,3,1.0,1.0,1.0,1,1
346,59,93,1393,43011000.0,2,1.0,1.0,1.0,4,5
347,59,57,1394,46491000.0,1,1.0,1.0,1.0,4,4
348,59,73,1394,48630000.0,2,1.0,1.0,1.0,4,4
349,59,62,1386,36306000.0,1,0.0,1.0,1.0,1,4
